Cell,position_theta,position_z,position_theta_degrees,position_z_mm,amplitude,frequency
Glimpse1,92,2,276,62.650000000000006,0.0494789822482117,0.3524471640588061
Glimpse1,93,2,279,62.650000000000006,0.0493503230752308,0.352599345250861
Glimpse1,94,2,282,62.650000000000006,0.0483739702226972,0.3433291683997329
Glimpse1,95,2,285,62.650000000000006,0.0464529182764665,0.349993944027726
Glimpse1,96,2,288,62.650000000000006,0.0475888148255818,0.3438943544384057
Glimpse1,97,2,291,62.650000000000006,0.0469163143198235,0.3404027041772527
Glimpse1,98,2,294,62.650000000000006,0.04760222094391,0.3552269641252757
Glimpse1,99,2,297,62.650000000000006,0.0460102991372776,0.3567003488280139
Glimpse1,100,2,300,62.650000000000006,0.0464527442666658,0.3551304740835358
Glimpse1,101,2,303,62.650000000000006,0.0470430330737725,0.3524971994133462
Glimpse1,102,2,306,62.650000000000006,0.0467743295825593,0.3410591736829084
Glimpse1,103,2,309,62.650000000000006,0.0485728983438954,0.349914446629145
Glimpse1,104,2,312,62.650000000000006,0.0487795564647918,0.3473712580511581
Glimpse1,105,2,315,62.650000000000006,0.0476496422558997,0.3444598977760382
Glimpse1,106,2,318,62.650000000000006,0.0476587491740635,0.3430286776841784
Glimpse1,107,2,321,62.650000000000006,0.0484713809458595,0.350692234475487
Glimpse1,108,2,324,62.650000000000006,0.0485915063544931,0.3501423746639025
Glimpse1,109,2,327,62.650000000000006,0.0491815345720067,0.3576336910030263
Glimpse1,110,2,330,62.650000000000006,0.0490057588118638,0.3538564370880908
Glimpse1,111,2,333,62.650000000000006,0.0490466983226431,0.349944083484274
Glimpse1,112,2,336,62.650000000000006,0.0462713518275709,0.3470953298190499
Glimpse1,113,2,339,62.650000000000006,0.0474085209973276,0.358891980466807
Glimpse1,114,2,342,62.650000000000006,0.0483944758923646,0.3668582618783313
Glimpse1,115,2,345,62.650000000000006,0.0487881010829157,0.3753710530565877
Glimpse1,116,2,348,62.650000000000006,0.0491430944592952,0.3925053840274982
Glimpse1,117,2,351,62.650000000000006,0.0482674956754699,0.4024948336221837
Glimpse1,118,2,354,62.650000000000006,0.0490045960247238,0.4204051989301595
Glimpse1,119,2,357,62.650000000000006,0.0485268944297414,0.4262359205548645
Glimpse1,0,3,0,59.650000000000006,0.0491397434452064,0.430512568417386
Glimpse1,1,3,3,59.650000000000006,0.0472525086722589,0.4167970343092961
Glimpse1,2,3,6,59.650000000000006,0.0470064987645641,0.4048705731125067
Glimpse1,3,3,9,59.650000000000006,0.0461781688950059,0.3901942208456374
Glimpse1,4,3,12,59.650000000000006,0.0464876618724163,0.3864481529180872
Glimpse1,5,3,15,59.650000000000006,0.0486073303527925,0.3758664553545536
Glimpse1,6,3,18,59.650000000000006,0.04855975758638,0.3831697030462306
Glimpse1,7,3,21,59.650000000000006,0.048844954355078,0.36579653604821
Glimpse1,8,3,24,59.650000000000006,0.0470124569085422,0.3712540389463256
Glimpse1,9,3,27,59.650000000000006,0.046895947386984,0.3587034308879233
Glimpse1,10,3,30,59.650000000000006,0.0470883295769991,0.357782356910295
Glimpse1,11,3,33,59.650000000000006,0.0469062472093055,0.3558920371662804
Glimpse1,12,3,36,59.650000000000006,0.0466385648013272,0.3610723816630538
Glimpse1,13,3,39,59.650000000000006,0.0452181641420545,0.370611338152963
Glimpse1,14,3,42,59.650000000000006,0.0469875561095299,0.3683202616256015
Glimpse1,15,3,45,59.650000000000006,0.048552996309273,0.3701642841943045
Glimpse1,16,3,48,59.650000000000006,0.0464669926426716,0.376229972027721
Glimpse1,17,3,51,59.650000000000006,0.0475050213567347,0.3753063615323713
Glimpse1,18,3,54,59.650000000000006,0.0480009624626876,0.3725344612671223
Glimpse1,19,3,57,59.650000000000006,0.0474905526182355,0.3524320646894888
Glimpse1,20,3,60,59.650000000000006,0.0478028271430317,0.3463966806172746
